评论内容,分词结果
这部电影想剖析一个很尖锐的问题人活下去的勇气与理由 当你一无所有孤独痛苦的感受充斥着整个躯壳时你是否依旧有活下去的勇气你是否依旧有活下去的理由甚至哪怕没有理由只是单纯的为了活下去而活下去你愿意吗 生命哲学从古至今都是禁忌一般的话题没什么人讨论大家都在避讳死亡自杀这样的词汇那些最伟大的哲学家对此也避而不谈这也是为什么余华的作品中我认为只有一本可被人称赞甚至在文学史上留下浓墨重彩的一笔活着他敢直言生命哲学的核心人的活着需要理由吗 不不需要活着就是活着它不需要理由也没有意义而深海像是制作者一份深情的请求求求你哪怕没有理由也要好好活着好吗,这部 电影 想 剖析 一个 很 尖锐 的 问题 人 活下去 的 勇气 与 理由 当 你 一无所有 孤独 痛苦 的 感受 充斥 着 整个 躯壳 时 你 是否 依旧 有 活下去 的 勇气 你 是否 依旧 有 活下去 的 理由 甚至 哪怕 没有 理由 只是 单纯 的 为了 活下去 而 活下去 你 愿意 吗 生命 哲学 从古至今 都 是 禁忌 一般 的 话题 没什么 人 讨论 大家 都 在 避讳 死亡 自杀 这样 的 词汇 那些 最 伟大 的 哲学家 对此 也 避而不谈 这 也 是 为什么 余华 的 作品 中 我 认为 只有 一本 可 被 人 称赞 甚至 在 文学史 上 留下 浓墨重彩 的 一笔 活着 他敢 直言 生命 哲学 的 核心 人 的 活着 需要 理由 吗 不 不 需要 活着 就是 活着 它 不 需要 理由 也 没有 意义 而 深海 像是 制作者 一份 深情 的 请求 求求 你 哪怕 没有 理由 也 要 好好 活着 好 吗
大晚上看哭了,大 晚上 看 哭 了
四刷以后才真的看懂这部电影,四刷 以后 才 真的 看 懂 这部 电影
这部电影的评价真的非常两极分化,这部 电影 的 评价 真的 非常 两极分化
后劲真大,后劲 真 大
南河死了吗希望参宿一直开心走下去,南河 死 了 吗 希望 参宿 一直 开心 走 下去
这部电影看不懂你可以看无数遍看的懂就不想多看一遍后劲太大,这部 电影 看不懂 你 可以 看 无数遍 看 的 懂 就 不想 多 看一遍 后劲 太 大
我第一次看这电影是初中的一个凌晨想着睡不着看看吧但看完后心里却有点难受我也有些忘记了记得主人公她是父母离异想起以前的时光想念母亲在船上后落入海里进入一个新世界记忆中这些片段零零散散的也有许多我没表达出来可能是电影让我想起了我的经历我在小学二三年级的时候父母就离婚了那时我还记得我父母吵架时我还在和朋友在院里玩他们说我妈哭了我就跑过去偷看但我并不知道为什么也不知道会发生什么年纪小什么都不知道后来才知道他们离婚了我是爷爷奶奶带大的爸爸在外面打工一年到头才回来一次我成绩并不好也没什么才艺喜欢沉迷网络游戏觉得在这里我会开心点初中后很少和别人说话也不会主动找别人说话之前的朋友也不在联系同班的同学他们说我内向高冷也从不参加活动我并不觉得我是这样的想和他们玩却心里犹豫好在有几位主动找我玩的人直到现在也玩在一起但有时我羡慕他们羡慕他们有个幸福的家庭与父母很好的沟通我从不在他们面前说起我父母离婚因为那让我觉得我和他们不一样我家境不是很好爸爸要养整个家我姐姐奶奶姐姐大学毕业了爷爷在初三时去世了那天晚上刚和同学分开回到家才知道那一晚我没哭家里只有我一个在后来某些个晚上想起我总会哭我知道爷爷他是最疼我的人生中第一张奖状我贴在床边是学习进步 反正我认为很好网上很多人说它画风人物形象丑还说丑化中国人也有其他黑它的人电影以真实的角度来的人的长相都不同没人从出生时能自定义自己长相做好自己就行我认为一部电影不在于画风特效有多精美在于他想要表达什么希望有更多的能流露真情实感的电影诞生,我 第一次 看 这 电影 是 初中 的 一个 凌晨 想着 睡不着 看看 吧 但 看 完后 心里 却 有点 难受 我 也 有些 忘记 了 记得 主人公 她 是 父母 离异 想起 以前 的 时光 想念 母亲 在 船上 后 落入 海里 进入 一个 新世界 记忆 中 这些 片段 零零散散 的 也 有 许多 我 没 表达出来 可能 是 电影 让 我 想起 了 我 的 经历 我 在 小学 二三年 级 的 时候 父母 就 离婚 了 那时 我 还 记得 我 父母 吵架 时 我 还 在 和 朋友 在 院里 玩 他们 说 我 妈 哭 了 我 就 跑 过去 偷看 但 我 并不知道 为什么 也 不 知道 会 发生 什么 年纪 小 什么 都 不 知道 后来 才 知道 他们 离婚 了 我 是 爷爷奶奶 带大 的 爸爸 在 外面 打工 一年到头 才 回来 一次 我 成绩 并 不好 也 没什么 才艺 喜欢 沉迷 网络游戏 觉得 在 这里 我会 开心 点 初中 后 很少 和 别人 说话 也 不会 主动 找 别人 说话 之前 的 朋友 也 不 在 联系 同班 的 同学 他们 说 我 内向 高冷 也 从不 参加 活动 我 并 不 觉得 我 是 这样 的 想 和 他们 玩 却 心里 犹豫 好 在 有 几位 主动 找 我 玩 的 人 直到现在 也 玩 在 一起 但 有时 我 羡慕 他们 羡慕 他们 有个 幸福 的 家庭 与 父母 很 好 的 沟通 我 从不 在 他们 面前 说起 我 父母 离婚 因为 那 让 我 觉得 我 和 他们 不 一样 我 家境 不是 很 好 爸爸 要养 整个 家 我 姐姐 奶奶 姐姐 大学毕业 了 爷爷 在 初三 时 去世 了 那天 晚上 刚 和 同学 分开 回到 家才 知道 那一晚 我 没 哭 家里 只有 我 一个 在 后来 某些 个 晚上 想起 我 总会 哭 我 知道 爷爷 他 是 最 疼 我 的 人生 中 第一张 奖状 我 贴 在 床边 是 学习 进步 反正 我 认为 很 好 网上 很多 人 说 它 画风 人物形象 丑 还 说 丑化 中国 人 也 有 其他 黑 它 的 人 电影 以 真实 的 角度 来 的 人 的 长相 都 不同 没人 从 出生 时能 自定义 自己 长相 做好 自己 就行 我 认为 一部 电影 不 在于 画风 特效 有 多 精美 在于 他 想要 表达 什么 希望 有 更 多 的 能 流露 真情实感 的 电影 诞生
整体太压抑了不应该在年裆,整体 太 压抑 了 不 应该 在 年 裆
我说一下我的感受吧我觉得深海的内含其实要比哪吒深特效也不拉胯但是哪吒宣传它的特效的时候剧情很简单通俗易懂准确地来说至少完整所以配上天价宣传完全可以票房大卖不过深海就不行了我个人觉得深海的剧情真的算不上好它只会批评观众看不懂深意却忘了电影的本质是讲好一个故事表面故事足够好才会有人愿意深挖有人说她的题材小众有人说内涵太深所以人看的少之类的话那我说既然没有指望大众理解他没有做到通俗易懂就不要祈求大众都接受他那他这样的成就算得上好了,我 说 一下 我 的 感受 吧 我 觉得 深海 的 内含 其实 要 比 哪吒 深 特效 也 不 拉 胯 但是 哪吒 宣传 它 的 特效 的 时候 剧情 很 简单 通俗易懂 准确 地 来说 至少 完整 所以 配 上 天价 宣传 完全 可以 票房 大卖 不过 深海 就 不行 了 我 个人 觉得 深海 的 剧情 真的 算不上 好 它 只会 批评 观众 看不懂 深意 却 忘 了 电影 的 本质 是 讲 好 一个 故事 表面 故事 足够 好 才 会 有人 愿意 深挖 有人 说 她 的 题材 小 众 有人 说 内涵 太深 所以 人 看 的 少 之类 的话 那 我 说 既然 没有 指望 大众 理解 他 没有 做到 通俗易懂 就 不要 祈求 大众 都 接受 他 那 他 这样 的 成 就算 得 上 好 了
我最后悔的事莫过于看3D深海结果没戴近视眼镜,我 最 后悔 的 事 莫过于 看 3D 深海 结果 没戴 近视眼镜
参宿是主动跳海自杀的最后也噶了只不过为了过审和谐掉了,参宿 是 主动 跳海自杀 的 最后 也 噶 了 只不过 为了 过审 和谐 掉 了
真的是最最喜欢的一部国漫电影了太遗憾太遗憾23年没注意到它遗憾没去影院支持如此高质的电影,真的 是 最最 喜欢 的 一部 国漫 电影 了 太 遗憾 太 遗憾 23 年 没 注意 到 它 遗憾 没 去 影院 支持 如此 高质 的 电影
刚刚看完很久没有让我哭成这样的电影了,刚刚 看 完 很久没 有 让 我 哭 成 这样 的 电影 了
喜不喜欢和好不好是两码事喜欢不代表好,喜不喜欢 和 好不好 是 两码事 喜欢 不 代表 好
2023年冬距离高考不到一年那段时间我们的学校一个月只放一次假不知是否是因为压力亦或者自己现实中遭遇不顺遂长期以来一直失眠那一年冬天我窝在自己的房间里外面的天色已是深蓝色室内由于我关上了所有的灯而昏暗尔后我在在屏幕里放映了深海那是怎样的一种体验呢我只记得我哭得很惨从忽然间明白了梦与现实的关联的那一刻我的泪水便再也无法控制那天我哭了好几次从剧情后半小时开始每隔一段时间我就会被新的画面与内容打动以至于后来看解说时依然难以控制自己内心的难过与面孔上的泪滴那一段时间我被失眠影响得一直浑浑噩噩而那天我睡得很香这样好的睡眠我因之整整安稳睡了一个多月以至于很久以后的大学里的深夜每当我想起忍不住又点开相关的视频泪水依然涌出深海对于我而言是有生以来最为打动我的电影之二近乎于海上钢琴师感谢田晓鹏导演,2023 年冬 距离 高考 不到 一年 那 段时间 我们 的 学校 一个月 只放 一次 假 不知 是否 是因为 压力 亦 或者 自己 现实 中 遭遇 不顺遂 长期以来 一直 失眠 那 一年 冬天 我 窝 在 自己 的 房间 里 外面 的 天色 已 是 深蓝色 室内 由于 我 关上 了 所有 的 灯 而 昏暗 尔后 我 在 在 屏幕 里 放映 了 深海 那 是 怎样 的 一种 体验 呢 我 只 记得 我 哭 得 很惨 从 忽然 间 明白 了 梦 与 现实 的 关联 的 那一刻 我 的 泪水 便 再也 无法控制 那天 我 哭 了 好 几次 从 剧情 后 半小时 开始 每隔 一段时间 我 就 会 被 新 的 画面 与 内容 打动 以至于 后来 看 解说 时 依然 难以 控制 自己 内心 的 难过 与 面孔 上 的 泪滴 那 一段时间 我 被 失眠 影响 得 一直 浑浑噩噩 而 那天 我 睡 得 很 香 这样 好 的 睡眠 我 因 之 整整 安稳 睡 了 一个多月 以至于 很 久 以后 的 大学 里 的 深夜 每当 我 想起 忍不住 又 点开 相关 的 视频 泪水 依然 涌出 深海 对于 我 而言 是 有生以来 最为 打动 我 的 电影 之二 近乎 于 海上 钢琴师 感谢 田晓鹏 导演
感觉这部电影更适合心思细腻的人看那些心里容不下其他的看不了,感觉 这部 电影 更 适合 心思 细腻 的 人 看 那些 心里 容不下 其他 的 看 不了
都不用看说哪吒不好的下面一定有身份证号,都 不用 看 说 哪吒 不好 的 下面 一定 有 身份证号
少年派,少年 派
说真的好电影来的我很喜欢宫崎骏从我还没上幼儿园就接触了幽灵公主我哥带着我看的后续就迷上了这一部电影无论是细节还是史无前例的粒子效果都足以堪称精品而且感觉有点宫崎骏的后启之秀但是确实可能难符合大众口味当下的快生活人们或许更加偏向哪吒流浪地球也是好电影这种快节奏叙事直接酣畅的电影,说真的 好 电影 来 的 我 很 喜欢 宫崎骏 从 我 还 没上 幼儿园 就 接触 了 幽灵公主 我哥 带 着 我 看 的 后续 就 迷上 了 这 一部 电影 无论是 细节 还是 史无前例 的 粒子 效果 都 足以 堪称 精品 而且 感觉 有点 宫崎骏 的 后 启之秀 但是 确实 可能 难 符合 大众 口味 当下 的 快 生活 人们 或许 更加 偏向 哪吒 流浪 地球 也 是 好 电影 这种 快节奏 叙事 直接 酣畅 的 电影
哪吒确实好看但是我还是觉得如果有时间的话可以仔细去感受深海这部佳作内涵确实丰富完美融合了梦和海这俩个元素,哪吒 确实 好看 但是 我 还是 觉得 如果 有 时间 的话 可以 仔细 去 感受 深海 这部 佳作 内涵 确实 丰富 完美 融合 了 梦 和 海 这 俩个 元素
喜欢看懂了,喜欢 看 懂 了
非常非常喜欢 感谢导演能做出了这么一部电影,非常 非常 喜欢 感谢 导演 能 做出 了 这么 一部 电影
哪吒2时代回来感觉国产动画还是走上了流量为王的道路,哪吒 2 时代 回来 感觉 国产 动画 还是 走上 了 流量 为 王 的 道路
经历过和参宿类似的家庭故事父母离婚的时候想过自己结束了算了当时十岁还是十一岁幸亏没有做傻事现在自己找到新生活了,经历 过 和 参宿 类似 的 家庭 故事 父母 离婚 的 时候 想过 自己 结束 了 算了 当时 十岁 还是 十一岁 幸亏 没有 做 傻事 现在 自己 找到 新 生活 了
除了哪吒2和流浪地球之外最喜欢的电影电影院三刷上限之后刷了也有十遍了真的感谢导演能带来这么好的作品,除了 哪吒 2 和 流浪 地球 之外 最 喜欢 的 电影 电影院 三刷 上限 之后 刷 了 也 有 十遍 了 真的 感谢 导演 能 带来 这么 好 的 作品
当年看完深海我连解读都不敢看后劲非常大到今年我终于敢去搜深海相关的视频了,当年 看 完 深海 我 连 解读 都 不敢 看 后劲 非常 大到 今年 我 终于 敢 去 搜 深海 相关 的 视频 了
画面可以剧情和对白简直烂完了看得懂但是我真的不想看懂尬的我啊,画面 可以 剧情 和 对白 简直 烂 完 了 看得懂 但是 我 真的 不想 看 懂尬 的 我 啊
深海很好看可以来看看我的剪辑嘛,深海 很 好看 可以 来 看看 我 的 剪辑 嘛
这部电影的票房就是对中国观众审美水平最好的印证,这部 电影 的 票房 就是 对 中国 观众 审美 水平 最好 的 印证
2025在哪吒2里重现了,2025 在 哪吒 2 里 重现 了
真的有不少银河铁道之夜的影子有人和我一个想法吗,真的 有 不少 银河 铁道 之夜 的 影子 有人 和 我 一个 想法 吗
也是看电影和游戏一样都需要静下心来慢慢观看但现在这社会太急躁了很多好电影前面甚至全片都很平淡但看完真的很感动也许一部电影只有那么一瞬间的高潮就像废纸板拳击手那样,也 是 看 电影 和 游戏 一样 都 需要 静下心来 慢慢 观看 但 现在 这 社会 太 急躁 了 很多 好 电影 前面 甚至 全片 都 很 平淡 但 看 完 真的 很 感动 也许 一部 电影 只有 那么 一瞬间 的 高潮 就 像 废纸 板 拳击手 那样
